2% Long Anneal

wavelength (microns), Re(index)
1.31102, 1.4791
1.31038, 1.47911
1.30973, 1.47911
1.30942, 1.47912
1.30942, 1.47912
1.30909, 1.47912
1.30845, 1.47912
1.30781, 1.47913
1.30716, 1.47913
1.30652, 1.47914
1.30596, 1.47914
1.30596, 1.47914
1.30588, 1.47914
1.30588, 1.47914
1.30524, 1.47915
1.3046, 1.47915
1.30396, 1.47916
1.30333, 1.47916
1.30269, 1.47917
1.30251, 1.47917
1.30251, 1.47917
1.30205, 1.47917
1.30142, 1.47918
1.30078, 1.47918
1.30015, 1.47919
1.29951, 1.47919
1.29905, 1.4792
1.29905, 1.4792
1.29888, 1.4792
1.29825, 1.4792
1.29761, 1.47921
1.29698, 1.47921
1.29635, 1.47922
1.29572, 1.47922
1.29559, 1.47922
1.29559, 1.47922
1.29509, 1.47923
1.29446, 1.47923
1.29383, 1.47924
1.2932, 1.47924
1.29258, 1.47925
1.29213, 1.47925
1.29213, 1.47925
1.29195, 1.47925
1.29132, 1.47926
1.2907, 1.47926
1.29007, 1.47927
1.29007, 1.47927
1.28945, 1.47927
1.28882, 1.47928
1.28867, 1.47928
1.28867, 1.47928
1.2882, 1.47928
1.28758, 1.47929
1.28696, 1.47929
1.28634, 1.4793
1.28571, 1.4793
1.28521, 1.47931
1.28521, 1.47931
1.28509, 1.47931
1.28447, 1.47931
1.28386, 1.47932
1.28324, 1.47932
1.28262, 1.47933
1.282, 1.47933
1.28175, 1.47933
1.28175, 1.47933
1.28139, 1.47934
1.28077, 1.47934
1.28015, 1.47935
1.27954, 1.47935
1.27892, 1.47936
1.27831, 1.47936
1.27829, 1.47936
1.27829, 1.47936
1.2777, 1.47937
1.27709, 1.47937
1.27647, 1.47938
1.27586, 1.47938
1.27525, 1.47939
1.27484, 1.47939
1.27484, 1.47939
1.27464, 1.47939
1.27464, 1.47939
1.27403, 1.4794
1.27342, 1.4794
1.27281, 1.47941
1.27221, 1.47941
1.2716, 1.47942
1.27138, 1.47942
1.27138, 1.47942
1.27099, 1.47942
1.27039, 1.47943
1.26978, 1.47943
1.26918, 1.47944
1.26857, 1.47944
1.26797, 1.47945
1.26792, 1.47945
1.26792, 1.47945
1.26736, 1.47946
1.26676, 1.47946
1.26616, 1.47947
1.26556, 1.47947
1.26496, 1.47948
1.26446, 1.47948
1.26446, 1.47948
1.26436, 1.47948
1.26376, 1.47949
1.26316, 1.47949
1.26256, 1.4795
1.26196, 1.4795
1.26136, 1.47951
1.261, 1.47951
1.261, 1.47951
1.26077, 1.47951
1.26017, 1.47952
1.25957, 1.47952
1.25957, 1.47952
1.25898, 1.47953
1.25838, 1.47953
1.25779, 1.47954
1.25754, 1.47954
1.25754, 1.47954
1.2572, 1.47954
1.2566, 1.47955
1.25601, 1.47955
1.25542, 1.47956
1.25483, 1.47956
1.25424, 1.47957
1.25408, 1.47957
1.25408, 1.47957
1.25365, 1.47958
1.25306, 1.47958
1.25247, 1.47959
1.25188, 1.47959
1.25129, 1.4796
1.2507, 1.4796
1.25062, 1.4796
1.25062, 1.4796
1.25012, 1.47961
1.24953, 1.47961
1.24895, 1.47962
1.24836, 1.47962
1.24778, 1.47963
1.24719, 1.47963
1.24716, 1.47963
1.24716, 1.47963
1.24661, 1.47964
1.24602, 1.47964
1.24544, 1.47965
1.24486, 1.47965
1.24486, 1.47965
1.24428, 1.47966
1.2437, 1.47967
1.2437, 1.47967
1.2437, 1.47967
1.24312, 1.47967
1.24254, 1.47968
1.24196, 1.47968
1.24138, 1.47969
1.2408, 1.47969
1.24024, 1.4797
1.24024, 1.4797
1.24022, 1.4797
1.23965, 1.4797
1.23907, 1.47971
1.23849, 1.47971
1.23792, 1.47972
1.23734, 1.47972
1.23678, 1.47973
1.23678, 1.47973
1.23677, 1.47973
1.23619, 1.47973
1.23562, 1.47974
1.23505, 1.47975
1.23448, 1.47975
1.2339, 1.47976
1.23333, 1.47976
1.23332, 1.47976
1.23332, 1.47976
1.23276, 1.47977
1.23219, 1.47977
1.23162, 1.47978
1.23105, 1.47978
1.23048, 1.47979
1.23048, 1.47979
1.22992, 1.47979
1.22986, 1.47979
1.22986, 1.47979
1.22935, 1.4798
1.22878, 1.4798
1.22822, 1.47981
1.22765, 1.47982
1.22708, 1.47982
1.22652, 1.47983
1.22639, 1.47983
1.22639, 1.47983
1.22595, 1.47983
1.22539, 1.47984
1.22483, 1.47984
1.22426, 1.47985
1.2237, 1.47985
1.22314, 1.47986
1.22293, 1.47986
1.22293, 1.47986
1.22258, 1.47986
1.22202, 1.47987
1.22146, 1.47988
1.2209, 1.47988
1.22034, 1.47989
1.21978, 1.47989
1.21947, 1.4799
1.21947, 1.4799
1.21922, 1.4799
1.21866, 1.4799
1.21811, 1.47991
1.21755, 1.47991
1.21699, 1.47992
1.21644, 1.47992
1.21644, 1.47992
1.21601, 1.47993
1.21601, 1.47993
1.21588, 1.47993
1.21533, 1.47994
1.21477, 1.47994
1.21422, 1.47995
1.21367, 1.47995
1.21311, 1.47996
1.21256, 1.47996
1.21255, 1.47996
1.21255, 1.47996
1.21201, 1.47997
1.21146, 1.47997
1.21091, 1.47998
1.21036, 1.47999
1.20981, 1.47999
1.20926, 1.48
1.20909, 1.48
1.20909, 1.48
1.20871, 1.48
1.20816, 1.48001
1.20762, 1.48001
1.20707, 1.48002
1.20652, 1.48002
1.20598, 1.48003
1.20563, 1.48003
1.20563, 1.48003
1.20543, 1.48003
1.20488, 1.48004
1.20434, 1.48005
1.2038, 1.48005
1.20325, 1.48006
1.20271, 1.48006
1.20271, 1.48006
1.20217, 1.48007
1.20217, 1.48007
1.20217, 1.48007
1.20162, 1.48007
1.20108, 1.48008
1.20054, 1.48008
1.2, 1.48009
1.19946, 1.4801
1.19892, 1.4801
1.1987, 1.4801
1.1987, 1.4801
1.19838, 1.48011
1.19784, 1.48011
1.1973, 1.48012
1.19677, 1.48012
1.19623, 1.48013
1.19569, 1.48013
1.19524, 1.48014
1.19524, 1.48014
1.19515, 1.48014
1.19462, 1.48015
1.19408, 1.48015
1.19355, 1.48016
1.19301, 1.48016
1.19248, 1.48017
1.19195, 1.48017
1.19178, 1.48018
1.19178, 1.48018
1.19141, 1.48018
1.19088, 1.48018
1.19035, 1.48019
1.18982, 1.4802
1.18929, 1.4802
1.18929, 1.4802
1.18876, 1.48021
1.18832, 1.48021
1.18832, 1.48021
1.18822, 1.48021
1.1877, 1.48022
1.18717, 1.48022
1.18664, 1.48023
1.18611, 1.48024
1.18558, 1.48024
1.18505, 1.48025
1.18486, 1.48025
1.18486, 1.48025
1.18453, 1.48025
1.184, 1.48026
1.18347, 1.48026
1.18295, 1.48027
1.18242, 1.48027
1.1819, 1.48028
1.1814, 1.48029
1.1814, 1.48029
1.18137, 1.48029
1.18085, 1.48029
1.18033, 1.4803
1.17981, 1.4803
1.17928, 1.48031
1.17876, 1.48031
1.17824, 1.48032
1.17793, 1.48032
1.17793, 1.48032
1.17772, 1.48033
1.1772, 1.48033
1.17668, 1.48034
1.17616, 1.48034
1.17616, 1.48034
1.17564, 1.48035
1.17512, 1.48035
1.1746, 1.48036
1.17447, 1.48036
1.17447, 1.48036
1.17409, 1.48036
1.17357, 1.48037
1.17305, 1.48038
1.17254, 1.48038
1.17202, 1.48039
1.1715, 1.48039
1.17101, 1.4804
1.17101, 1.4804
1.17099, 1.4804
1.17047, 1.4804
1.16996, 1.48041
1.16945, 1.48042
1.16893, 1.48042
1.16842, 1.48043
1.16791, 1.48043
1.16755, 1.48044
1.16755, 1.48044
1.1674, 1.48044
1.16689, 1.48044
1.16637, 1.48045
1.16586, 1.48045
1.16535, 1.48046
1.16484, 1.48047
1.16434, 1.48047
1.16409, 1.48047
1.16409, 1.48047
1.16383, 1.48048
1.16332, 1.48048
1.16332, 1.48048
1.16281, 1.48049
1.1623, 1.48049
1.1618, 1.4805
1.16129, 1.48051
1.16078, 1.48051
1.16062, 1.48051
1.16062, 1.48051
1.16028, 1.48052
1.15977, 1.48052
1.15927, 1.48053
1.15876, 1.48053
1.15826, 1.48054
1.15776, 1.48055
1.15725, 1.48055
1.15716, 1.48055
1.15716, 1.48055
1.15675, 1.48056
1.15625, 1.48056
1.15575, 1.48057
1.15525, 1.48057
1.15475, 1.48058
1.15425, 1.48059
1.15375, 1.48059
1.1537, 1.48059
1.1537, 1.48059
1.15325, 1.4806
1.15275, 1.4806
1.15225, 1.48061
1.15175, 1.48061
1.15125, 1.48062
1.15076, 1.48062
1.15076, 1.48062
1.15026, 1.48063
1.15024, 1.48063
1.15024, 1.48063
1.14976, 1.48064
1.14927, 1.48064
1.14877, 1.48065
1.14828, 1.48065
1.14778, 1.48066
1.14729, 1.48066
1.14679, 1.48067
1.14677, 1.48067
1.14677, 1.48067
1.1463, 1.48068
1.14581, 1.48068
1.14531, 1.48069
1.14482, 1.48069
1.14433, 1.4807
1.14384, 1.4807
1.14335, 1.48071
